やぼったい,ヤボッタイ
くさい,クサイ
もの凄まじい,モノスサマジイ
のろい,ノロイ
馬鹿馬鹿しい,バカバカシイ
狡い,ズルイ
狡い,コスイ
気ぜわしい,キゼワシイ
あらっぽい,アラッポイ
くすい,クスイ
おおい,オオイ
おっかない,オッカナイ
赤い,アカイ
よわよわしい,ヨワヨワシイ
たのもしい,タノモシイ
どろくさい,ドロクサイ
人なつこい,ヒトナツコイ
あやしい,アヤシイ
こ難しい,コムズカシイ
かんばしい,カンバシイ
かいがいしい,カイガイシイ
真白い,マッシロイ
手荒い,テアライ
難い,ガタイ
思いがけない,オモイガケナイ
とぼしい,トボシイ
粗い,アライ
ぬきがたい,ヌキガタイ
青黒い,アオグロイ
わすれがたい,ワスレガタイ
厳つい,イカツイ
妖しい,アヤシイ
華華しい,ハナバナシイ
まだるっこい,マダルッコイ
あたたかい,アタタカイ
いそ臭い,イソクサイ
あいない,アイナイ
見づらい,ミヅライ
事事しい,コトゴトシイ
五月蝿い,ウルサイ
麗々しい,レイレイシイ
間遠い,マドオイ
細長い,ホソナガイ
晴がましい,ハレガマシイ
つゆけい,ツユケイ
愉しい,タノシイ
華々しい,ハナバナシイ
はしこい,ハシコイ
口喧しい,クチヤカマシイ
少い,スクナイ
かくい,カクイ
恭しい,ウヤウヤシイ
感慨深い,カンガイブカイ
男らしい,オトコラシイ
粘っこい,ネバッコイ
目新しい,メアタラシイ
そろばんだかい,ソロバンダカイ
古い,フルイ
興味深い,キョウミブカイ
しょざいない,ショザイナイ
おぼしい,オボシイ
新しい,アタラシイ
快い,ココロヨイ
誇らしい,ホコラシイ
いさましい,イサマシイ
めぼしい,メボシイ
めんどうくさい,メンドウクサイ
骨っぽい,ホネッポイ
わろい,ワロイ
みめよい,ミメヨイ
喧しい,ヤカマシイ
あぶらっこい,アブラッコイ
けぢかい,ケヂカイ
角かどしい,カトカドシイ
ねむたい,ネムタイ
腹ぐろい,ハラグロイ
軟かい,ヤワラカイ
華ばなしい,ハナバナシイ
気忙しい,キゼワシイ
味わい深い,アジワイブカイ
押し付けがましい,オシツケガマシイ
めばやい,メバヤイ
見目好い,ミメヨイ
カシコい,カシコイ
普い,アマネイ
しがない,シガナイ
美しい,ウツクシイ
重苦しい,オモクルシイ
やさい,ヤサイ
焦げくさい,コゲクサイ
せまい,セマイ
ニガい,ニガイ
賑にぎしい,ニギニギシイ
もの悲しい,モノガナシイ
薄ぎたない,ウスギタナイ
だいじない,ダイジナイ
やすい,ヤスイ
淋しい,サビシイ
淋しい,サミシイ
繁い,シゲイ
野暮臭い,ヤボクサイ
心細い,ココロボソイ
やるせない,ヤルセナイ
稚い,イトケナイ
弱々しい,ヨワヨワシイ
面映ゆい,オモハユイ
きづかわしい,キヅカワシイ
爺むさい,ジジムサイ
許可ない,キョカナイ
芳しい,カンバシイ
芳しい,カグワシイ
物ぐるわしい,モノグルワシイ
トゲトゲしい,トゲトゲシイ
こげくさい,コゲクサイ
蒼い,アオイ
ものたらない,モノタラナイ
イイ,イイ
騒がしい,サワガシイ
けむたい,ケムタイ
いとけない,イトケナイ
花はずかしい,ハナハズカシイ
自慢たらしい,ジマンタラシイ
湿っぽい,シメッポイ
見憎い,ミニクイ
切ない,セツナイ
悪賢い,ワルガシコイ
あざとい,アザトイ
くすぐったい,クスグッタイ
悔しい,クヤシイ
野太い,ノブトイ
不甲斐ない,フガイナイ
なれなれしい,ナレナレシイ
なるい,ナルイ
如才無い,ジョサイナイ
こわい,コワイ
余儀ない,ヨギナイ
草深い,クサブカイ
きつい,キツイ
細々しい,コマゴマシイ
痛い,イタイ
貧しい,マズシイ
物寂しい,モノサビシイ
手厳しい,テキビシイ
詫びしい,ワビシイ
こうるさい,コウルサイ
こころもとない,ココロモトナイ
初ういしい,ウイウイシイ
瑞々しい,ミズミズシイ
生暖かい,ナマアタタカイ
おそれおおい,オソレオオイ
小だかい,コダカイ
均しい,ヒトシイ
胡散い,ウサンイ
かそけい,カソケイ
浅まい,アサマイ
思わしい,オモワシイ
険しい,ケワシイ
弱っちい,ヨワッチイ
どす黒い,ドスグロイ
こすからい,コスカライ
雄雄しい,オオシイ
継しい,ママシイ
こころうい,ココロウイ
手ばしこい,テバシコイ
ぎょうぎょうしい,ギョウギョウシイ
空空しい,ソラゾラシイ
ふかい,フカイ
凛凛しい,リリシイ
えらい,エライ
すきずきい,スキズキイ
このましい,コノマシイ
つらにくい,ツラニクイ
ともい,トモイ
疎うとしい,ウトウトシイ
草ぶかい,クサブカイ
こころぼそい,ココロボソイ
聡い,サトイ
いそがしい,イソガシイ
なだかい,ナダカイ
たくましい,タクマシイ
ぎりがたい,ギリガタイ
果てしない,ハテシナイ
痛々しい,イタイタシイ
よんどころ無い,ヨンドコロナイ
ぞくっぽい,ゾクッポイ
呆気ない,アッケナイ
面倒くさい,メンドウクサイ
くらい,クライ
きぜわしい,キゼワシイ
わざとらしい,ワザトラシイ
むずがゆい,ムズガユイ
つきづきい,ツキヅキイ
福々しい,フクブクシイ
押しつけがましい,オシツケガマシイ
ぶ厚い,ブアツイ
軽がろしい,カロガロシイ
いちじるしい,イチジルシイ
ものみだかい,モノミダカイ
さとい,サトイ
薄ら寒い,ウスラサムイ
懐かしい,ナツカシイ
あつい,アツイ
禍禍しい,マガマガシイ
早い,ハヤイ
物悲しい,モノガナシイ
畏れ多い,オソレオオイ
しろい,シロイ
耀かしい,カガヤカシイ
暗い,クライ
堪難い,タエガタイ
ねばりづよい,ネバリヅヨイ
あさまい,アサマイ
ねぐるしい,ネグルシイ
遽しい,アワタダシイ
赤黒い,アカグロイ
小暗い,オグライ
小暗い,コグライ
つみぶかい,ツミブカイ
汚らわしい,ケガラワシイ
おろかしい,オロカシイ
ほそながい,ホソナガイ
気づよい,キヅヨイ
辛い,ツライ
辛い,カライ
まわりくどい,マワリクドイ
生新しい,ナマアタラシイ
末頼もしい,スエタノモシイ
ったらしい,ッタラシイ
こうごうしい,コウゴウシイ
キメ細かい,キメコマカイ
生白い,ナマッチロイ
生白い,ナマジロイ
木ぶかい,コブカイ
淡い,アワイ
きそくただしい,キソクタダシイ
寝苦しい,ネグルシイ
荒あらしい,アラアラシイ
クラい,クライ
かなしい,カナシイ
宜しい,ヨロシイ
せこい,セコイ
物ぐるおしい,モノグルオシイ
すすどい,ススドイ
ちっさい,チッサイ
じまんたらしい,ジマンタラシイ
いけ図々しい,イケズウズウシイ
